Invoice_ID,Invoice_Header,Invoice_Year,Invoice_Amount,Invoice_Vendor,Invoice_Due_Date,Invoice_Vendor_City
2018001158_2018_IT10,2018001158,2018,3114.00,VND06145,2018-02-16,
2018001167_2018_IT10,2018001167,2018,329.40,VND07988,2018-03-01,Milan
2018001172_2018_IT10,2018001172,2018,1242.57,VND05086,2018-03-31,
2018001174_2018_IT10,2018001174,2018,1164.60,VND06129,2018-02-14,
2018001177_2018_IT10,2018001177,2018,1959.32,VND05086,2018-03-31,
2018001179_2018_IT10,2018001179,2018,2005.00,VND05244,2018-03-30,
2018001180_2018_IT10,2018001180,2018,1285.00,VND05244,2018-03-29,
2018001182_2018_IT10,2018001182,2018,1145.00,VND05244,2018-03-31,
2018001187_2018_IT10,2018001187,2018,1037.00,VND05675,2018-03-05,
2018001191_2018_IT10,2018001191,2018,423.04,VND05942,2018-02-25,
2018001209_2018_IT10,2018001209,2018,2928.00,VND04213,2018-03-31,
2018001210_2018_IT10,2018001210,2018,2806.00,VND04213,2018-03-31,
2018001211_2018_IT10,2018001211,2018,9.92,VND07187,2018-02-01,Dusseldorf
2018001213_2018_IT10,2018001213,2018,692.00,VND07187,2018-02-01,Dusseldorf
2018001214_2018_IT10,2018001214,2018,691.00,VND07187,2018-02-01,Dusseldorf
2018001216_2018_IT10,2018001216,2018,390.42,VND05088,2018-02-02,Beijing
2018001217_2018_IT10,2018001217,2018,261.62,VND05088,2018-02-02,Beijing
2018001218_2018_IT10,2018001218,2018,261.73,VND05088,2018-02-02,Beijing
2018001219_2018_IT10,2018001219,2018,260.10,VND05088,2018-02-02,Beijing
2018001220_2018_IT10,2018001220,2018,322.64,VND05088,2018-02-02,Beijing
2018001221_2018_IT10,2018001221,2018,550.00,VND07893,2018-01-18,
2018001222_2018_IT10,2018001222,2018,262.73,VND05088,2018-02-02,Beijing
2018001223_2018_IT10,2018001223,2018,241.97,VND05088,2018-02-02,Beijing
2018001224_2018_IT10,2018001224,2018,250.10,VND05624,2018-05-02,
2018001225_2018_IT10,2018001225,2018,394.10,VND04404,2018-04-02,Dusseldorf
